dien_tich,so_phong_ngu,so_phong_tam,quan_huyen,loai_bds,gia_tien
46.5,3,3,Quan 3,CanHo,4.535
136.0,3,2,Quan 3,CanHo,12.746
255.7,5,5,Binh Tan,NhaO,17.716
50.2,5,5,Hoc Mon,NhaO,2.651
236.0,4,2,Go Vap,NhaO,20.971
255.8,2,2,Quan 12,NhaO,18.074
260.1,5,5,Phu Nhuan,NhaO,60.783
68.8,4,2,Thu Duc,NhaO,5.421
75.2,3,3,Quan 11,CanHo,5.295
74.2,2,1,Quan 6,CanHo,4.016
82.0,2,1,Quan 10,CanHo,6.156
103.2,2,2,Tan Binh,CanHo,6.04
61.0,5,3,Tan Binh,NhaO,8.264
110.9,3,1,Tan Binh,NhaO,12.818
129.2,2,2,Quan 11,CanHo,9.551
78.2,4,2,Tan Phu,NhaO,8.027
134.7,1,1,Binh Tan,CanHo,5.088
193.2,3,1,Quan 11,NhaO,33.022
119.4,4,3,Tan Binh,CanHo,9.092
178.6,2,2,Thu Duc,NhaO,16.086
98.5,2,2,Hoc Mon,CanHo,2.151
268.2,3,1,Quan 3,NhaO,56.844
115.3,1,1,Quan 11,CanHo,6.61
78.3,3,3,Go Vap,CanHo,4.02
59.6,1,1,Binh Chanh,CanHo,1.366
71.9,2,1,Nha Be,CanHo,2.467
181.0,2,1,Tan Binh,NhaO,23.508
169.2,5,3,Quan 8,NhaO,19.835
190.8,3,1,Quan 1,NhaO,61.272
112.1,2,2,Binh Tan,CanHo,3.696
66.7,1,1,Quan 10,CanHo,5.005
174.1,3,1,Binh Tan,NhaO,11.609
123.4,3,3,Binh Tan,CanHo,4.569
135.3,2,1,Thu Duc,CanHo,6.349
226.5,2,1,Phu Nhuan,NhaO,47.539
59.7,3,2,Tan Binh,CanHo,3.557
75.6,1,1,Quan 10,CanHo,5.783
130.6,4,2,Thu Duc,NhaO,12.009
70.3,4,2,Quan 3,NhaO,15.57
239.8,3,2,Quan 1,NhaO,63.273
73.6,2,2,Nha Be,CanHo,2.289
68.4,1,1,Quan 3,CanHo,6.616
130.8,2,2,Quan 11,CanHo,7.672
103.9,1,1,Tan Phu,CanHo,4.458
281.9,3,1,Nha Be,NhaO,15.775
130.4,2,2,Binh Tan,CanHo,4.946
101.9,3,2,Thu Duc,CanHo,5.09
119.3,1,1,Hoc Mon,CanHo,2.559
142.0,3,1,Binh Chanh,NhaO,7.551
34.6,3,2,Phu Nhuan,CanHo,3.61
46.9,1,1,Binh Chanh,CanHo,0.988
90.9,3,2,Quan 4,CanHo,6.216
52.2,1,1,Quan 8,CanHo,2.64
281.4,5,5,Binh Chanh,NhaO,16.009
256.6,2,1,Thu Duc,NhaO,23.458
62.4,3,2,Binh Tan,NhaO,4.557
155.2,4,2,Quan 10,NhaO,33.073
144.2,6,5,Nha Be,NhaO,10.866
188.6,3,3,Phu Nhuan,NhaO,37.285
212.1,3,2,Quan 4,NhaO,34.937
106.2,6,4,Quan 5,NhaO,24.936
34.9,3,3,Tan Phu,CanHo,1.514
79.4,1,1,Nha Be,CanHo,2.253
92.6,4,2,Quan 11,NhaO,16.016
218.3,6,4,Quan 3,NhaO,61.605
225.7,2,1,Tan Phu,NhaO,18.923
201.2,5,4,Phu Nhuan,NhaO,49.101
268.4,4,2,Binh Thanh,NhaO,45.581
132.5,6,5,Quan 5,NhaO,33.836
55.2,2,2,Thu Duc,NhaO,5.094
158.5,4,4,Quan 5,NhaO,33.046
80.2,1,1,Quan 3,CanHo,6.478
203.0,6,6,Thu Duc,NhaO,20.715
89.1,3,3,Quan 6,CanHo,6.222
123.0,3,3,Quan 12,CanHo,4.696
69.8,4,2,Tan Phu,NhaO,6.636
51.9,4,3,Binh Chanh,CanHo,1.294
32.2,1,1,Nha Be,CanHo,1.064
139.7,3,3,Binh Tan,NhaO,10.049
94.8,2,1,Quan 1,NhaO,23.645
82.5,3,2,Tan Binh,NhaO,10.216
73.2,2,1,Hoc Mon,CanHo,1.578
40.8,1,1,Quan 1,CanHo,5.238
73.8,3,3,Quan 12,NhaO,4.843
54.3,3,3,Binh Chanh,NhaO,2.757
79.3,3,1,Quan 1,NhaO,22.936
194.7,5,4,Quan 10,NhaO,35.196
72.5,2,1,Quan 10,CanHo,4.897
107.4,3,2,Quan 10,CanHo,8.744
250.1,6,5,Nha Be,NhaO,19.639
136.9,3,2,Quan 1,CanHo,19.603
125.1,5,3,Quan 5,NhaO,26.766
87.9,2,1,Quan 10,CanHo,6.577
92.3,2,1,Quan 6,NhaO,12.163
115.7,3,2,Hoc Mon,CanHo,2.83
187.0,4,3,Go Vap,NhaO,20.715
232.1,3,3,Quan 6,NhaO,34.956
49.9,3,3,Quan 7,CanHo,3.305
39.8,4,3,Phu Nhuan,CanHo,3.7
97.9,2,2,Phu Nhuan,CanHo,8.357
92.0,4,3,Phu Nhuan,CanHo,9.211
277.4,4,4,Go Vap,NhaO,26.54
171.8,2,1,Quan 11,NhaO,28.049
119.8,1,1,Hoc Mon,CanHo,2.389
52.9,3,2,Hoc Mon,NhaO,2.102
108.2,2,1,Quan 4,NhaO,19.846
47.9,1,1,Phu Nhuan,CanHo,4.398
265.1,5,3,Quan 3,NhaO,60.374
33.8,4,3,Quan 5,CanHo,2.809
35.6,3,2,Quan 6,CanHo,2.544
49.3,2,1,Quan 12,CanHo,1.841
136.7,2,2,Hoc Mon,CanHo,3.163
254.5,2,1,Binh Thanh,NhaO,39.814
97.7,1,1,Tan Binh,CanHo,5.895
130.9,1,1,Quan 6,CanHo,7.585
53.0,5,4,Quan 1,NhaO,16.572
196.2,4,4,Tan Phu,NhaO,21.161
68.0,4,4,Binh Chanh,CanHo,2.062
65.4,2,1,Quan 1,CanHo,7.596
90.9,2,1,Binh Thanh,NhaO,11.788
42.5,1,1,Phu Nhuan,CanHo,3.665
49.8,3,3,Quan 7,NhaO,6.222
235.7,3,3,Binh Chanh,NhaO,10.997
112.4,1,1,Hoc Mon,CanHo,2.439
154.1,3,2,Quan 8,NhaO,18.567
61.7,4,3,Quan 12,CanHo,2.376
163.2,2,1,Quan 11,NhaO,25.429
115.6,3,3,Quan 6,CanHo,8.616
141.7,2,1,Binh Tan,NhaO,8.234
137.6,3,3,Quan 3,CanHo,14.232
263.2,4,3,Quan 7,NhaO,32.716
52.8,2,2,Phu Nhuan,CanHo,4.995
244.6,4,4,Nha Be,NhaO,15.784
116.7,6,5,Quan 5,NhaO,25.458
58.9,1,1,Go Vap,CanHo,2.362
32.3,2,2,Binh Tan,CanHo,1.217
116.1,3,3,Quan 12,NhaO,7.883
193.1,6,4,Quan 10,NhaO,41.905
247.2,2,1,Quan 4,NhaO,37.342
115.0,1,1,Phu Nhuan,CanHo,9.978
99.9,1,1,Quan 11,CanHo,6.317
135.8,3,1,Quan 6,NhaO,20.065
106.3,4,2,Phu Nhuan,NhaO,23.707
122.5,4,4,Quan 10,NhaO,22.652
296.1,3,2,Hoc Mon,NhaO,14.68
161.6,4,2,Tan Binh,NhaO,24.726
96.4,1,1,Quan 3,CanHo,9.082
256.6,6,4,Nha Be,NhaO,19.077
40.5,2,2,Quan 10,CanHo,3.425
42.4,2,1,Quan 5,CanHo,3.492
118.4,2,2,Quan 7,CanHo,8.796
207.2,2,1,Hoc Mon,NhaO,9.995
34.9,3,1,Quan 6,NhaO,5.418
158.9,3,2,Binh Tan,NhaO,11.63
110.5,1,1,Binh Tan,CanHo,4.233
149.8,2,1,Quan 4,NhaO,23.771
184.5,5,5,Hoc Mon,NhaO,9.748
118.8,3,3,Binh Tan,CanHo,5.092
118.2,6,4,Quan 10,NhaO,24.541
92.7,2,2,Go Vap,NhaO,8.859
111.3,3,2,Nha Be,NhaO,6.902
55.3,3,2,Quan 1,CanHo,6.434
93.9,4,3,Phu Nhuan,NhaO,19.428
41.9,5,3,Go Vap,NhaO,4.719
101.8,2,1,Tan Binh,NhaO,12.757
262.1,4,4,Quan 1,NhaO,86.725
247.5,3,1,Quan 3,NhaO,49.686
34.5,2,1,Quan 6,CanHo,1.949
234.4,4,3,Tan Phu,NhaO,23.409
124.6,2,1,Quan 10,CanHo,8.416
46.4,4,3,Quan 3,CanHo,5.536
103.5,2,1,Quan 12,CanHo,3.93
116.1,5,3,Quan 3,NhaO,33.266
132.0,2,2,Quan 12,CanHo,4.119
62.6,4,2,Nha Be,NhaO,3.929
54.8,2,1,Thu Duc,CanHo,2.704
125.6,3,3,Quan 7,CanHo,8.594
66.0,3,2,Quan 3,CanHo,5.871
119.6,2,1,Quan 5,CanHo,9.802
32.8,4,2,Tan Phu,NhaO,2.784
33.7,2,1,Phu Nhuan,CanHo,3.27
166.1,2,2,Go Vap,NhaO,14.435
48.3,3,1,Quan 1,NhaO,14.97
164.2,2,1,Tan Binh,NhaO,19.939
79.5,1,1,Thu Duc,CanHo,3.497
40.1,2,1,Quan 12,CanHo,1.288
108.6,2,1,Quan 3,CanHo,9.63
95.0,3,2,Tan Phu,CanHo,4.107
202.1,4,3,Thu Duc,NhaO,18.134
94.7,3,2,Phu Nhuan,CanHo,8.807
93.5,3,1,Nha Be,NhaO,5.854
81.7,1,1,Nha Be,CanHo,2.591
292.1,5,3,Quan 7,NhaO,41.952
90.5,2,2,Quan 4,CanHo,7.306
80.1,2,1,Binh Chanh,NhaO,3.652
55.4,2,1,Quan 10,CanHo,3.929
182.7,6,5,Quan 8,NhaO,23.127
264.5,3,2,Quan 7,NhaO,32.492
282.4,4,3,Phu Nhuan,NhaO,64.534
74.6,4,4,Quan 11,NhaO,12.931
224.7,6,5,Quan 10,NhaO,50.988
94.3,3,3,Quan 6,NhaO,14.097
39.0,2,2,Quan 1,CanHo,5.272
105.3,3,3,Thu Duc,NhaO,10.366
97.3,2,2,Quan 4,CanHo,7.844
120.5,1,1,Binh Thanh,CanHo,9.92
128.8,1,1,Quan 6,CanHo,7.308
178.8,3,3,Quan 8,NhaO,18.244
138.3,2,2,Quan 12,CanHo,4.389
130.7,4,3,Quan 6,CanHo,9.035
283.6,4,2,Quan 8,NhaO,33.524
138.5,3,1,Phu Nhuan,NhaO,28.237
54.4,3,3,Quan 1,CanHo,6.82
195.9,3,1,Binh Thanh,NhaO,28.715
100.1,1,1,Quan 6,CanHo,6.165
46.3,4,3,Quan 3,CanHo,4.37
116.4,3,3,Binh Tan,CanHo,4.468
72.1,1,1,Quan 6,CanHo,4.65
96.2,4,4,Quan 3,NhaO,26.155
127.4,2,1,Phu Nhuan,CanHo,12.154
80.4,3,2,Binh Chanh,CanHo,2.196
171.1,3,1,Quan 5,NhaO,34.77
122.6,2,2,Binh Chanh,CanHo,2.912
95.6,3,2,Quan 3,CanHo,8.509
107.8,2,2,Hoc Mon,CanHo,2.689
55.4,2,2,Quan 12,CanHo,2.148
43.0,1,1,Phu Nhuan,CanHo,3.927
119.0,3,1,Quan 5,NhaO,25.567
34.4,5,5,Quan 11,NhaO,5.599
112.1,2,2,Tan Binh,CanHo,7.848
64.4,2,1,Binh Tan,CanHo,2.26
107.2,1,1,Thu Duc,CanHo,5.762
151.6,5,3,Quan 8,NhaO,19.635
207.5,6,5,Binh Thanh,NhaO,32.475
218.3,5,5,Phu Nhuan,NhaO,54.743
101.4,3,2,Binh Chanh,CanHo,2.648
34.6,3,2,Phu Nhuan,CanHo,3.472
115.7,3,3,Binh Chanh,CanHo,3.418
261.2,6,5,Quan 1,NhaO,83.814
37.5,1,1,Quan 5,CanHo,2.856
46.3,1,1,Phu Nhuan,CanHo,3.82
105.9,3,2,Tan Phu,CanHo,4.849
67.4,3,2,Binh Thanh,CanHo,5.432
157.0,3,3,Quan 11,NhaO,21.777
80.2,3,3,Thu Duc,CanHo,4.173
49.2,4,3,Go Vap,NhaO,4.558
77.3,3,2,Quan 6,NhaO,10.416
32.5,2,2,Quan 12,CanHo,1.131
87.4,2,1,Quan 1,CanHo,11.72
152.2,3,2,Quan 4,NhaO,24.333
48.6,2,1,Quan 11,CanHo,2.815
227.5,4,2,Binh Thanh,NhaO,37.473
295.4,6,5,Quan 1,NhaO,110.659
210.4,2,1,Quan 11,NhaO,32.945
158.4,4,2,Hoc Mon,NhaO,8.205
120.9,3,1,Quan 11,NhaO,17.318
135.1,3,1,Go Vap,NhaO,10.799
82.1,3,2,Quan 3,CanHo,8.894
138.7,1,1,Quan 12,CanHo,4.495
97.8,2,1,Binh Chanh,NhaO,4.726
207.6,4,4,Quan 6,NhaO,29.459
47.9,1,1,Quan 11,CanHo,3.365
96.9,2,1,Thu Duc,CanHo,4.937
81.6,3,3,Tan Phu,NhaO,6.595
230.9,5,4,Binh Chanh,NhaO,12.882
71.2,3,3,Tan Phu,CanHo,3.621
272.8,5,4,Thu Duc,NhaO,29.624
31.0,4,2,Quan 8,NhaO,3.309
126.4,2,2,Thu Duc,CanHo,6.668
204.6,3,3,Quan 10,NhaO,43.456
111.6,3,2,Quan 1,CanHo,15.511
81.6,4,3,Quan 7,CanHo,7.119
259.3,4,4,Quan 5,NhaO,58.157
51.6,2,2,Phu Nhuan,CanHo,4.596
176.0,3,2,Tan Phu,NhaO,16.933
120.7,2,1,Go Vap,CanHo,5.889
280.5,3,3,Tan Binh,NhaO,37.321
206.5,2,1,Quan 10,NhaO,37.202
268.7,3,2,Quan 6,NhaO,40.373
221.3,6,5,Quan 3,NhaO,57.927
99.8,4,4,Nha Be,CanHo,3.772
138.3,3,2,Tan Phu,CanHo,5.889
85.6,3,3,Tan Binh,CanHo,5.892
176.0,5,5,Nha Be,NhaO,13.581
168.8,3,1,Tan Phu,NhaO,13.171
38.3,2,1,Hoc Mon,CanHo,0.865
75.7,2,1,Quan 7,CanHo,5.354
54.2,1,1,Tan Binh,CanHo,3.603
40.6,2,1,Phu Nhuan,CanHo,3.828
282.6,6,4,Quan 5,NhaO,66.225
91.1,1,1,Quan 4,CanHo,7.105
87.2,2,2,Quan 5,CanHo,7.506
130.9,3,3,Quan 1,CanHo,19.287
188.3,3,2,Tan Phu,NhaO,18.118
179.4,3,3,Phu Nhuan,NhaO,36.145
97.6,4,4,Quan 12,CanHo,3.535
77.4,3,2,Quan 3,CanHo,7.896
116.6,2,2,Thu Duc,CanHo,5.79
118.4,4,4,Quan 1,CanHo,17.877
57.0,3,2,Quan 8,NhaO,6.701
105.0,1,1,Tan Phu,CanHo,4.103
159.2,4,2,Thu Duc,NhaO,15.622
103.9,6,5,Thu Duc,NhaO,9.898
138.0,2,2,Go Vap,CanHo,7.484
65.3,4,4,Quan 4,CanHo,5.701
282.8,5,4,Quan 6,NhaO,49.516
174.7,4,4,Phu Nhuan,NhaO,37.736
97.0,1,1,Nha Be,CanHo,3.221
80.2,1,1,Hoc Mon,CanHo,1.614
70.6,2,1,Quan 11,CanHo,4.507
119.5,1,1,Binh Chanh,CanHo,3.075
135.0,1,1,Tan Binh,CanHo,7.884
116.2,3,2,Hoc Mon,NhaO,5.293
125.9,4,3,Quan 5,NhaO,26.013
275.7,5,5,Hoc Mon,NhaO,14.883
167.4,4,2,Quan 5,NhaO,31.738
182.5,2,1,Quan 6,NhaO,25.039
139.6,2,2,Quan 7,CanHo,9.132
260.7,5,4,Phu Nhuan,NhaO,54.28
90.1,3,2,Quan 11,CanHo,5.488
64.4,3,2,Quan 8,CanHo,3.899
110.5,3,2,Quan 7,CanHo,8.294
102.3,4,4,Binh Tan,NhaO,7.522
68.4,2,2,Quan 1,CanHo,7.72
182.4,2,1,Phu Nhuan,NhaO,39.039
56.6,2,1,Quan 5,CanHo,4.787
108.2,2,2,Quan 3,CanHo,11.118
34.8,2,2,Quan 12,CanHo,1.213
136.9,1,1,Quan 10,CanHo,9.866
94.1,3,3,Quan 1,CanHo,11.401
131.8,4,4,Tan Binh,NhaO,19.224
76.7,1,1,Tan Binh,CanHo,4.136
130.8,2,2,Phu Nhuan,CanHo,13.014
244.2,6,6,Quan 6,NhaO,38.064
195.7,4,4,Quan 11,NhaO,29.269
292.4,4,4,Tan Phu,NhaO,31.205
98.7,1,1,Go Vap,CanHo,4.45
39.8,2,1,Hoc Mon,CanHo,0.845
61.6,1,1,Quan 5,CanHo,4.437
81.5,3,2,Quan 4,CanHo,6.233
125.8,3,3,Quan 6,CanHo,7.607
84.9,2,1,Quan 10,CanHo,6.03
128.5,3,2,Phu Nhuan,CanHo,12.565
161.2,4,3,Quan 7,NhaO,24.506
64.3,1,1,Quan 4,CanHo,4.187
137.1,3,2,Quan 1,CanHo,16.022
240.5,5,4,Quan 11,NhaO,45.879
47.2,2,2,Binh Tan,CanHo,1.65
47.8,3,2,Quan 10,NhaO,8.589
215.4,3,1,Go Vap,NhaO,21.354
55.1,3,1,Go Vap,NhaO,5.4
87.8,3,3,Thu Duc,CanHo,4.286
33.8,3,2,Quan 12,NhaO,2.078
77.9,2,2,Tan Binh,CanHo,5.185
37.6,1,1,Thu Duc,CanHo,2.047
85.7,2,1,Quan 12,NhaO,4.751
91.8,4,2,Quan 11,NhaO,14.492
161.2,4,4,Quan 1,NhaO,52.754
196.1,4,2,Quan 3,NhaO,47.805
45.9,4,4,Quan 12,CanHo,1.737
263.2,6,4,Quan 6,NhaO,45.464
130.5,3,3,Quan 4,NhaO,24.356
139.1,2,2,Quan 1,NhaO,36.899
146.6,3,1,Thu Duc,NhaO,12.976
104.9,2,2,Quan 1,CanHo,12.562
108.1,3,3,Quan 5,NhaO,21.258
43.1,1,1,Quan 3,CanHo,3.775
55.8,6,5,Quan 1,NhaO,19.272
259.2,4,4,Quan 8,NhaO,28.791
40.1,3,3,Quan 11,NhaO,6.976
209.5,2,1,Quan 7,NhaO,25.136
289.4,5,3,Quan 5,NhaO,66.853
234.7,3,1,Quan 5,NhaO,43.114
57.3,3,1,Binh Chanh,NhaO,2.583
132.3,2,2,Thu Duc,NhaO,10.003
121.9,3,2,Binh Thanh,CanHo,9.774
80.1,4,3,Quan 12,NhaO,5.976
79.8,1,1,Hoc Mon,CanHo,1.62
52.9,2,2,Tan Binh,CanHo,3.548
79.2,4,3,Quan 10,CanHo,7.046
208.7,4,2,Quan 11,NhaO,34.79
157.4,3,2,Hoc Mon,NhaO,6.983
215.9,4,3,Binh Thanh,NhaO,33.071
123.5,2,1,Binh Chanh,CanHo,3.268
71.9,2,2,Quan 7,CanHo,5.291
64.4,2,1,Tan Binh,CanHo,4.279
58.9,3,3,Quan 10,CanHo,4.628
131.8,3,2,Quan 11,CanHo,9.667
86.3,4,2,Binh Thanh,NhaO,14.055
114.3,3,3,Quan 6,CanHo,6.999
163.3,4,4,Phu Nhuan,NhaO,35.022
40.8,4,3,Binh Tan,CanHo,1.847
103.3,5,4,Binh Thanh,NhaO,16.883
112.9,2,2,Thu Duc,CanHo,5.719
227.3,3,2,Phu Nhuan,NhaO,48.411
194.3,6,4,Hoc Mon,NhaO,10.972
56.0,6,6,Tan Binh,NhaO,9.23
136.3,6,4,Quan 5,NhaO,32.367
35.2,1,1,Quan 4,CanHo,2.668
73.0,4,4,Quan 6,CanHo,5.558
103.9,4,3,Quan 5,NhaO,23.49
272.0,4,2,Nha Be,NhaO,16.554
65.6,2,1,Quan 5,NhaO,11.87
237.4,6,5,Binh Chanh,NhaO,13.675
122.5,2,1,Quan 11,CanHo,8.707
113.1,2,2,Go Vap,CanHo,5.607
112.8,2,2,Quan 6,CanHo,6.62
123.4,1,1,Thu Duc,CanHo,5.509
109.6,4,4,Phu Nhuan,CanHo,11.687
76.5,2,2,Quan 1,CanHo,9.262
58.3,4,4,Quan 3,NhaO,13.448
138.4,5,5,Quan 5,NhaO,31.679
35.7,1,1,Binh Chanh,CanHo,0.789
55.3,3,2,Quan 11,CanHo,3.994
174.0,2,1,Quan 11,NhaO,22.494
110.7,1,1,Quan 4,CanHo,7.763
50.0,3,1,Quan 3,NhaO,10.221
137.3,1,1,Quan 1,CanHo,14.421
128.5,1,1,Quan 7,CanHo,8.676
132.0,3,3,Tan Binh,CanHo,9.439
192.6,3,2,Hoc Mon,NhaO,7.958
165.5,5,4,Quan 11,NhaO,27.328
139.6,2,1,Quan 6,CanHo,7.973
107.1,1,1,Quan 3,CanHo,10.692
278.6,4,4,Quan 8,NhaO,30.516
124.4,1,1,Quan 5,CanHo,8.723
187.4,3,3,Quan 5,NhaO,42.617
104.3,1,1,Tan Phu,CanHo,5.055
54.8,3,1,Quan 12,NhaO,3.494
46.8,4,4,Binh Thanh,CanHo,4.532
158.6,4,3,Tan Binh,NhaO,22.062
52.3,1,1,Tan Binh,CanHo,3.152
277.9,4,3,Quan 3,NhaO,70.717
63.0,4,3,Phu Nhuan,NhaO,12.785
124.1,2,2,Quan 5,NhaO,24.851
88.8,2,1,Binh Thanh,NhaO,12.812
74.0,3,2,Quan 7,CanHo,5.935
139.8,2,1,Quan 7,CanHo,10.363
67.5,3,2,Quan 1,NhaO,20.127
187.6,4,2,Tan Phu,NhaO,17.99
74.2,2,2,Tan Binh,CanHo,5.281
58.6,5,3,Go Vap,NhaO,6.358
69.6,3,3,Tan Phu,CanHo,3.285
124.0,2,1,Quan 6,CanHo,7.953
72.1,4,4,Tan Phu,NhaO,7.459
71.6,2,1,Phu Nhuan,CanHo,7.072
103.6,1,1,Quan 1,CanHo,13.454
122.6,1,1,Quan 5,CanHo,9.562
60.2,4,4,Quan 7,CanHo,5.293
140.5,4,4,Tan Binh,NhaO,20.867
66.6,3,3,Binh Tan,NhaO,4.686
165.4,2,2,Quan 8,NhaO,17.399
91.9,4,4,Quan 6,NhaO,13.086
33.6,3,2,Quan 12,NhaO,2.113
82.0,4,2,Thu Duc,NhaO,7.515
103.7,2,1,Quan 1,NhaO,31.084
97.4,1,1,Tan Phu,CanHo,4.073
282.7,3,1,Quan 5,NhaO,48.034
66.4,4,4,Quan 8,CanHo,3.765
243.7,4,3,Quan 1,NhaO,69.625
92.1,1,1,Binh Tan,CanHo,3.205
280.2,2,2,Quan 6,NhaO,33.968
99.2,3,3,Quan 5,CanHo,8.282
117.0,1,1,Quan 6,CanHo,6.575
63.1,2,2,Tan Phu,CanHo,2.663
134.1,6,5,Quan 1,NhaO,47.207
155.5,4,4,Quan 10,NhaO,32.504
252.5,4,2,Quan 10,NhaO,53.688
132.6,2,1,Quan 11,CanHo,8.876
249.9,4,3,Binh Thanh,NhaO,44.262
96.0,2,2,Go Vap,CanHo,4.696
94.2,1,1,Quan 7,CanHo,6.479
100.9,2,1,Binh Chanh,CanHo,2.753
72.7,1,1,Quan 1,CanHo,8.268
57.2,2,1,Quan 10,CanHo,4.317
137.7,3,2,Quan 4,NhaO,23.37
209.2,2,1,Tan Binh,NhaO,26.5
126.6,5,5,Quan 6,NhaO,20.778
225.2,4,2,Binh Tan,NhaO,14.809
61.1,4,3,Quan 12,CanHo,2.539
246.7,6,6,Binh Thanh,NhaO,44.586
230.9,3,3,Quan 10,NhaO,40.502
104.0,4,2,Quan 3,NhaO,22.768
122.3,6,5,Binh Thanh,NhaO,22.096
68.5,4,3,Nha Be,CanHo,2.648
77.0,4,2,Phu Nhuan,NhaO,18.072
104.9,3,2,Quan 7,NhaO,12.251
207.4,4,3,Quan 10,NhaO,42.59
51.6,2,2,Go Vap,CanHo,2.381
134.5,2,1,Thu Duc,NhaO,9.559
147.5,3,1,Hoc Mon,NhaO,6.765
72.6,4,3,Tan Phu,NhaO,7.704
37.1,2,1,Quan 6,NhaO,4.967
127.0,3,1,Quan 5,NhaO,22.504
97.2,4,4,Phu Nhuan,CanHo,9.784
232.9,3,3,Go Vap,NhaO,24.138
42.2,4,3,Thu Duc,NhaO,3.363
142.9,5,3,Quan 3,NhaO,32.337
87.1,4,4,Quan 10,NhaO,17.406
97.2,1,1,Quan 4,CanHo,7.085
205.0,4,4,Binh Chanh,NhaO,10.778
131.7,5,3,Binh Thanh,NhaO,20.395
87.5,3,2,Quan 4,CanHo,7.63
110.5,2,2,Quan 1,CanHo,12.196
46.8,2,2,Quan 8,CanHo,2.894
130.9,1,1,Tan Phu,CanHo,5.413
111.3,2,1,Tan Phu,CanHo,4.385
109.8,6,5,Hoc Mon,NhaO,5.418
210.9,4,3,Quan 4,NhaO,43.444
38.3,2,1,Binh Thanh,CanHo,3.134
45.5,2,2,Quan 4,CanHo,3.687
91.1,3,3,Binh Tan,CanHo,3.835
65.7,2,1,Quan 6,NhaO,7.996
105.4,4,4,Nha Be,CanHo,3.704
54.1,2,2,Tan Binh,CanHo,3.118
90.2,2,2,Quan 5,CanHo,8.188
109.8,3,2,Thu Duc,CanHo,5.488
41.0,2,1,Quan 4,CanHo,2.764
283.5,3,2,Quan 1,NhaO,92.037
233.1,4,2,Binh Chanh,NhaO,11.062
85.9,3,2,Quan 4,NhaO,14.311
98.2,2,1,Phu Nhuan,CanHo,9.428
85.0,2,1,Quan 5,CanHo,6.737
271.8,4,4,Binh Thanh,NhaO,38.736
210.2,2,1,Quan 11,NhaO,33.18
136.1,3,2,Tan Binh,NhaO,17.665
47.2,3,2,Go Vap,NhaO,4.047
133.9,2,2,Binh Thanh,CanHo,10.762
65.9,3,2,Phu Nhuan,CanHo,7.085
79.7,2,1,Thu Duc,CanHo,3.685
63.1,3,3,Binh Chanh,CanHo,1.488
66.0,3,3,Quan 6,CanHo,4.974
73.4,3,3,Binh Thanh,CanHo,5.702
236.8,6,5,Tan Binh,NhaO,40.251
96.5,2,1,Quan 7,CanHo,7.088
116.0,2,1,Binh Chanh,CanHo,3.145
185.4,3,2,Quan 6,NhaO,29.155
52.1,2,1,Quan 1,CanHo,7.107
138.3,1,1,Nha Be,CanHo,4.627
82.1,2,1,Binh Chanh,CanHo,1.833
81.6,2,2,Quan 3,CanHo,8.294
109.0,4,2,Quan 4,NhaO,21.357
82.1,5,3,Quan 10,NhaO,18.347
218.7,3,2,Binh Chanh,NhaO,9.76
75.2,4,4,Binh Tan,CanHo,3.027
104.5,3,3,Quan 10,CanHo,7.576
268.5,6,6,Quan 6,NhaO,40.584
108.9,3,3,Thu Duc,NhaO,9.305
54.0,2,1,Nha Be,CanHo,1.856
134.3,2,1,Quan 1,CanHo,16.631
132.9,6,5,Quan 8,NhaO,18.43
131.1,3,3,Hoc Mon,CanHo,2.812
62.2,1,1,Tan Binh,CanHo,4.046
197.8,6,6,Quan 11,NhaO,40.753
43.5,5,5,Go Vap,NhaO,4.123
74.3,4,3,Quan 12,CanHo,3.034
267.0,3,1,Nha Be,NhaO,17.245
98.9,2,2,Quan 12,NhaO,5.911
38.9,3,2,Quan 10,CanHo,3.487
106.2,3,3,Quan 4,CanHo,8.485
169.1,3,2,Quan 11,NhaO,25.025
86.6,2,2,Go Vap,CanHo,4.322
279.0,4,3,Quan 5,NhaO,56.571
84.6,4,3,Quan 5,CanHo,6.799
269.9,6,4,Quan 6,NhaO,40.232
219.5,4,4,Binh Tan,NhaO,14.792
137.9,3,3,Tan Binh,CanHo,8.279
79.4,2,2,Phu Nhuan,CanHo,6.673
264.8,5,4,Binh Tan,NhaO,22.484
54.4,2,1,Nha Be,CanHo,1.652
123.9,3,2,Binh Chanh,NhaO,6.558
71.4,2,2,Quan 10,CanHo,5.703
73.0,4,2,Quan 12,NhaO,4.528
68.2,1,1,Binh Tan,CanHo,2.469
78.2,4,4,Tan Binh,CanHo,4.851
70.9,4,3,Quan 1,NhaO,20.758
83.7,3,2,Quan 7,CanHo,6.359
115.5,5,4,Quan 11,NhaO,21.703
116.4,6,4,Quan 7,NhaO,17.127
43.5,2,2,Tan Binh,CanHo,2.97
133.7,1,1,Quan 8,CanHo,6.266
236.7,3,1,Tan Phu,NhaO,22.753
244.2,4,3,Binh Tan,NhaO,19.893
267.3,4,3,Quan 5,NhaO,50.727
206.2,4,4,Binh Tan,NhaO,13.476
149.5,2,2,Quan 1,NhaO,38.305
68.0,3,1,Quan 11,NhaO,9.798
124.2,5,4,Quan 3,NhaO,35.321
42.1,3,3,Binh Tan,CanHo,1.722
